304	01.01.13.10.004	Tanah Untuk Bangunan Jaringan Gas/BBM
305	01.01.13.10.005	Tanah Utk Bangunan Jaringan Lain-lain
306	01.01.13.11.001	Tanah Untuk Monumen
307	01.01.13.11.002	Tanah Untuk Tugu Peringatan
308	01.01.13.11.003	Tanah Untuk Tugu Batas Wilayah
309	01.01.13.11.004	Tanah Untuk Candi
310	01.01.13.11.005	Tanah Untuk Bangunan Museum
311	01.01.13.11.006	Tanah Untuk Bangunan Bersejarah
312	01.01.13.11.007	Tanah Utk Bangunan Bersejarah Lain-lain
313	01.01.13.12.001	Tanah Bangunan Sarana Olah Raga Terbatas
314	01.01.13.12.002	Tanah Bangunan Sarana Olah Raga Terbuka
315	01.01.13.12.003	Tanah Bangunan Sarana Olah Raga Lainnya
316	01.01.13.13.001	Tanah Untuk Bangunan Mesjid
317	01.01.13.13.002	Tanah Untuk Bangunan Gereja
318	01.01.13.13.003	Tanah Untuk Bangunan Pura
319	01.01.13.13.004	Tanah Untuk Bangunan Vihara
320	01.01.13.13.005	Tanah Untuk Bangunan Klenteng/Kuil
321	01.01.13.13.006	Tanah Untuk Bangunan Krematorium
322	01.01.13.13.007	Tanah Utk Bangunan Tempat Ibadah Lain-lain
