208	04.14.03.05.003	Bangunan Pengamanan Pasang surut Lain-lain
209	04.14.03.06.001	Bangunan Bagi dan Sadap
210	04.14.03.06.002	Bangunan Sadap
211	04.14.03.06.003	Bangunan Terjun
212	04.14.03.06.004	Bangunan Syplon
213	04.14.03.06.005	Gorong-gorong
214	04.14.03.06.006	Bangunan Jembatan
215	04.14.03.06.007	Bangunan Penghalang
216	04.14.03.06.008	Bangunan Pengukur Muka Air
217	04.14.03.06.009	Bangunan Pengukur Curah Hujan
218	04.14.03.06.010	Bangunan Penutup Sungai
219	04.14.03.06.011	Bangunan Statiun Pompa Pemasukan/Pembuang
220	04.14.03.06.012	Bangunan Pelengkap Pasang/Rawa Lain-lain
221	04.14.03.07.001	Sawah rawa Teknis
222	04.14.03.07.002	Sawah rawa Semi Teknis
223	04.14.03.07.003	Sawah rawa Non Teknis
224	04.14.03.07.004	Bangunan Sawah Pengembang Rawa Lain-lain
225	04.14.04.01.001	Waduk dengan tanggul & Pintu Pembuang
226	04.14.04.01.002	Waduk Jaringan Tanggul dan Pintu Pembuang
227	04.14.04.01.003	Waduk Jaringan Tanggul dan Pintu Pembuang dgn Pompa
228	04.14.04.01.004	Bangunan Waduk Penanggulanagn Sungai Lain-lain
229	04.14.04.02.001	Bangunan Pengambilan Pengamanan sungai
230	04.14.04.02.002	Bangunan Pengambilan Pengaman lain-lain
231	04.14.04.03.001	Bangunan Pembawa Pengamanan Sungai
232	04.14.04.03.002	Bangunan Pembuang Pengaman Lain-lain
233	04.14.04.04.001	Saluran Banjir
234	04.14.04.04.002	Saluran Drainase
235	04.14.04.04.003	Bangunan Pembuang Pengaman Sungai Lain-lain
236	04.14.04.04.004	Bangunan Tembok Penahan / Pengaman Sungai/Jalan (TPT)
237	04.14.04.05.001	Tanggul Banjir
238	04.14.04.05.002	Pintu Pengatur Banjir
239	04.14.04.05.003	Klep Pengatur Banjr
240	04.14.04.05.004	Coupur/Sodetan
241	04.14.04.05.005	Kantong Pasir/Lahar/Lumpur
242	04.14.04.05.006	Checkdam/Penahan Sedimen
243	04.14.04.05.007	Krib Pengaman Talud/Pantai
244	04.14.04.05.008	Bangunan Penguat Tebing
245	04.14.04.05.009	Bangunan Pelimpah Banjir
246	04.14.04.05.010	Dam Konsolidasi
247	04.14.04.05.011	Peralatan Saringan Sampah (Pond Sarcen)
248	04.14.04.05.012	Bangunan Pengaman Sungai Lain-lain
249	04.14.04.06.001	Bangunan Suphon
250	04.14.04.06.002	Bangunan Serong-serong
251	04.14.04.06.003	Bangunan Jembatan
252	04.14.04.06.004	Bangunan Pengukur Muka Air
253	04.14.04.06.005	Bangunan Pengukur Curah Hujan
254	04.14.04.06.006	Bangunan Station Pos Penjagaan/Pengamat
255	04.14.04.06.007	Bangunan Dermaga
256	04.14.04.06.008	Bangunan Station Pompa Pembuang
257	04.14.04.06.009	Bangunan Pelengkap Pengaman Sungai Lain-lain
258	04.14.05.01.001	Bangunan Waduk Lapangan Pembuang
259	04.14.05.01.002	Bangunan Waduk Lapangan Pembuang Lain-lain
260	04.14.05.02.001	Sumber dengan Pompa
261	04.14.05.02.002	Sumur Artesis
262	04.14.05.02.003	Bangunan Pengambilan Pengemb. Lain-lain
263	04.14.05.03.001	Saluran Tertier
264	04.14.05.03.002	Saluran Kwartier
265	04.14.05.03.003	Bangunan Pembawa Pengembangan Lain-lain
266	04.14.05.04.001	Bangunan Pembuang
267	04.14.05.04.002	Bangunan Pembuang Pengembangan Lain-lain
268	04.14.05.05.001	Bak Penampung/Kolam Ukur
269	04.14.05.05.002	Klimatologi
270	04.14.05.05.003	Hidrohiti
271	04.14.05.05.004	Sumur Pengamatan
272	04.14.05.05.005	Bangunan Pengaman Pengembangan Lain-lain
273	04.14.05.06.001	Bangunan Terpia
274	04.14.05.06.002	Bangunan Talang
275	04.14.05.06.003	Bangunan Syphon
276	04.14.05.06.004	Bangunan Gorong-gorong
277	04.14.05.06.005	Bangunan Bor Tersier
278	04.14.05.06.006	Jembatan Penghalang/Jalan
279	04.14.05.06.007	Bangunan Pelengkap Pengembangan Lain-lain
280	04.14.06.01.001	Waduk Penyimpanan Air Baku
281	04.14.06.01.002	Waduk Penyimpanan Air Hujan
282	04.14.06.01.003	Waduk Air Bersih/Air Baku Lain-lain
283	04.14.06.02.001	Bendung
284	04.14.06.02.002	Bendung Dengan Pompa
285	04.14.06.02.003	Bebas
286	04.14.06.02.004	Bebas dengan Pompa
287	04.14.06.02.005	Sumber dengan Penangkap
288	04.14.06.02.006	Bangunan Pengambilan dari Waduk
289	04.14.06.02.007	Bangunan Pengambilan dari Sungai
290	04.14.06.02.008	Bangunan Pengambilan dari Danau
291	04.14.06.02.009	Bangunan Pengambilan dari Rawa
292	04.14.06.02.010	Bangunan Pengambilan dari Laut
293	04.14.06.02.011	Bangunan Pengambilan dari Sumber Air
294	04.14.06.02.012	Bangunan Pengambilan dari Sumur Artesis
295	04.14.06.02.013	Bangunan Pengambilan Air Bersih Lain-lain
296	04.14.06.03.001	Saluran Pembawa Air Baku Terbuka
297	04.14.06.03.002	Saluran Pembawa Air Baku Tertutup
298	04.14.06.03.003	Bangunan Pembawa Air Bersih Lain-lain
299	04.14.06.04.001	Saluran Pembuang Air Cucian
300	04.14.06.04.002	Saluran Pembuang Air Cucian Instalasi
301	04.14.06.04.003	Bangunan Pembuang Air Bersih Lain-lain
302	04.14.06.05.001	Bangunan Talang
303	04.14.06.05.002	Bangunan Syplon
304	04.14.06.05.003	Bangunan Gorong-gorong
305	04.14.06.05.004	Bangunan Jembatan
306	04.14.06.05.005	Bangunan Penampung Air Baku
307	04.14.06.05.006	Bangunan Hidran Umum
308	04.14.06.05.007	Bangunan Mandi Cuci Kakus (MCK)
309	04.14.06.05.008	Bangunan Menara/Bak Penampung/Reservok Air Umum
310	04.14.06.05.009	Bangunan Pelengkap Air Bersih Lain-lain
311	04.14.07.01.001	Bangunan Pembawa Air Kotor
312	04.14.07.01.002	Saluran Pengumpul Air Kotor
313	04.14.07.01.003	Saluran Pengumpul Air Buangan Domestik
314	04.14.07.01.004	Saluran Pengumpul Air Buangan Industri
315	04.14.07.01.005	Saluran Pengumpul Air Buangan Pertanian
